id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,verb_present_participle,verb_past_participle,verb_passive_infinitive,verb_passive_present,verb_passive_past,noun_plural,noun_singular_definite,noun_plural_definite,noun_singular_definite_genitive,noun_plural_definite_genitive,noun_singular_indefinite_genitive,noun_plural_indefinite_genitive,adjective_feminine_form,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,pronoun_object,pronoun_reflexive,pronoun_plural_subject,pronoun_plural_object,pronoun_plural_reflexive,determinative_feminine_form,determinative_neuter_form,determinative_plural_form,adverb_comparative,adverb_superlative
wb_f2fc04e8a6522d0a628fcaf5438e000f9d59475415ef024524a5c56e64661d9d,true,determinative,cardinal_number,one,一,en,,,,,,,,,,,,,,,,,,,,,,,,,,,ei,et,en,,
wb_a463a52b36fdf9735d87d4c6c95f332f9a66d99814dd3147207fdc1864e9b6fa,true,determinative,cardinal_number,two,二,to,,,,,,,,,,,,,,,,,,,,,,,,,,,to,to,to,,
wb_69ac5dbe890fbf59fc829ad10a43cea62eaaa1f3e4d8d4873b61a0381e516cca,true,determinative,cardinal_number,three,三,tre,,,,,,,,,,,,,,,,,,,,,,,,,,,tre,tre,tre,,
wb_19e13968e077b589ae40ebadca740c4df1139241842d252c8de74974c6f6ee79,true,determinative,cardinal_number,four,四,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,fire,fire,fire,,
wb_0ebb5fd2ed28ddab05e08a7bbc74ed90bae786813dea894ff2a52eb15c4e728c,true,determinative,cardinal_number,five,五,fem,,,,,,,,,,,,,,,,,,,,,,,,,,,fem,fem,fem,,
wb_1bfcf7d796e0d861ad9a2d2f847769db8d2644b6634b1bcba90d087b35b79e15,true,determinative,cardinal_number,six,六,seks,,,,,,,,,,,,,,,,,,,,,,,,,,,seks,seks,seks,,
wb_ac5b27a99f68c2924817341bca4e65a0277e2aa0b6de4299c153dc1b49466acf,true,determinative,cardinal_number,seven,七,sju,,,,,,,,,,,,,,,,,,,,,,,,,,,sju,sju,sju,,
wb_d3aca7ec0ca6c3ce6108897e10341d855dc3f35e958e1228c22a06e4c3363e6c,true,determinative,cardinal_number,eight,八,åtte,,,,,,,,,,,,,,,,,,,,,,,,,,,åtte,åtte,åtte,,
wb_2941362d476c043aa0830575c4e2dcfd944d93cd4766ef29b2b460d0abe16290,true,determinative,cardinal_number,nine,九,ni,,,,,,,,,,,,,,,,,,,,,,,,,,,ni,ni,ni,,
wb_775926f23469a5d5af9d099fe5904f740ecedd5497f5e2de614a3282da5a66ff,true,determinative,cardinal_number,ten,十,ti,,,,,,,,,,,,,,,,,,,,,,,,,,,ti,ti,ti,,
wb_93aa2b442e680006508b750fb03bed771a125310f9d29e29662ccb5a632e306d,true,determinative,cardinal_number,eleven,十一,elleve,,,,,,,,,,,,,,,,,,,,,,,,,,,elleve,elleve,elleve,,
wb_59cb367f9b0dff0c00033869e09a773508cb28082be6c53c16284b6f01ec27d5,true,determinative,cardinal_number,twelve,十二,tolv,,,,,,,,,,,,,,,,,,,,,,,,,,,tolv,tolv,tolv,,
wb_86c13f164b3d42245f8f6d3cbd36b171dbed3517d8907599c3ec4830ceefeef3,true,determinative,cardinal_number,thirteen,十三,tretten,,,,,,,,,,,,,,,,,,,,,,,,,,,tretten,tretten,tretten,,
wb_44142f93ab76aaf48fadf5ff005dd8d754f0a7011f8124310058fda3ecf157b1,true,determinative,cardinal_number,fourteen,十四,fjorten,,,,,,,,,,,,,,,,,,,,,,,,,,,fjorten,fjorten,fjorten,,
wb_6293899594b3b689e22917089f5d12bc97428fb1c28d81f4f3da80723d0f1f3a,true,determinative,cardinal_number,fifteen,十五,femten,,,,,,,,,,,,,,,,,,,,,,,,,,,femten,femten,femten,,
wb_af3b459c1f9e7fa34721a4f875242d329f2306cee5d149cdc7e4b2add74ba369,true,determinative,cardinal_number,sixteen,十六,seksten,,,,,,,,,,,,,,,,,,,,,,,,,,,seksten,seksten,seksten,,
wb_1713e7da6c03e1ec3576de94e6d16e64eb3d55b37f1eb25089e9e3c5d0cad779,true,determinative,cardinal_number,seventeen,十七,sytten,,,,,,,,,,,,,,,,,,,,,,,,,,,sytten,sytten,sytten,,
wb_87eee0190b8d11b4ddfa225dcff449c184ace48de876ffd0647e896de0ec0c7e,true,determinative,cardinal_number,eighteen,十八,atten,,,,,,,,,,,,,,,,,,,,,,,,,,,atten,atten,atten,,
wb_30a7b20aa6e157cbf886dc1e753c29b6dbbdaecc405791b06315ba9e1cb26069,true,determinative,cardinal_number,nineteen,十九,nitten,,,,,,,,,,,,,,,,,,,,,,,,,,,nitten,nitten,nitten,,
wb_5c57fb3c1bcffd868dc37e8583bd4c02463a113457c5b8c327e087841fe41a91,true,determinative,cardinal_number,twenty,二十,tjue,,,,,,,,,,,,,,,,,,,,,,,,,,,tjue,tjue,tjue,,
wb_2fd215f6499f111e357908e9cbcb06acc5d655935b5c2c17f76bdf2c68e03487,true,determinative,cardinal_number,twenty-one,二十一,tjueen,,,,,,,,,,,,,,,,,,,,,,,,,,,tjueen,tjueen,tjueen,,
wb_37b3b1c39d56d93e6e7065417e1715ad4350a93687ea56cc9769cc810f904c43,true,determinative,cardinal_number,twenty-two,二十二,tjueto,,,,,,,,,,,,,,,,,,,,,,,,,,,tjueto,tjueto,tjueto,,
wb_ad5e260568ea32ce26dab9a493f2626ecfa293965e36f78a32024b7f0fa61d78,true,determinative,cardinal_number,twenty-three,二十三,tjuetre,,,,,,,,,,,,,,,,,,,,,,,,,,,tjuetre,tjuetre,tjuetre,,
wb_e715e41ade37019485fdd6c1363343fb209fa8c9a4c8842648a2287561bf9320,true,determinative,cardinal_number,twenty-four,二十四,tjuefire,,,,,,,,,,,,,,,,,,,,,,,,,,,tjuefire,tjuefire,tjuefire,,
wb_c929690c0d8eb6401aad7abf51bcfa788ee25b94cc4c84f490f2f08e1dc4d3d9,true,determinative,cardinal_number,twenty-five,二十五,tjuefem,,,,,,,,,,,,,,,,,,,,,,,,,,,tjuefem,tjuefem,tjuefem,,
wb_8e9be648480ba49bc81693249db179772fe9c9f7dda628415be024a6eafa31aa,true,determinative,cardinal_number,twenty-six,二十六,tjueseks,,,,,,,,,,,,,,,,,,,,,,,,,,,tjueseks,tjueseks,tjueseks,,
wb_f8680103bb2090eb20d0e0fad04cf33b76bb60e25373d9ffb92a6158dcbae8eb,true,determinative,cardinal_number,twenty-seven,二十七,tjuesju,,,,,,,,,,,,,,,,,,,,,,,,,,,tjuesju,tjuesju,tjuesju,,
wb_3eac04f84cae209a201e49101826983d9e5b94a0b416f577ad6e19d0a1bd3e88,true,determinative,cardinal_number,twenty-eight,二十八,tjueåtte,,,,,,,,,,,,,,,,,,,,,,,,,,,tjueåtte,tjueåtte,tjueåtte,,
wb_6bb2a302f84eec5abd955aadc11c91dcfa9b42c200fc2cd54be4e90a32ae3a45,true,determinative,cardinal_number,twenty-nine,二十九,tjueni,,,,,,,,,,,,,,,,,,,,,,,,,,,tjueni,tjueni,tjueni,,
wb_f0199ae0c0db40cd1306bb3a1fd59e8c435cbdca446cd3e2d214dad15d78d3ef,true,determinative,cardinal_number,thirty,三十,tretti,,,,,,,,,,,,,,,,,,,,,,,,,,,tretti,tretti,tretti,,
wb_c1a5c501a50a2565485f1241fb1a4f145bc6145dd22343a79c25c31831530b70,true,determinative,cardinal_number,forty,四十,førti,,,,,,,,,,,,,,,,,,,,,,,,,,,førti,førti,førti,,
wb_00a119efb880e72da893f379ff9a476fabd370280fd8fabcb056712448312801,true,determinative,cardinal_number,fifty,五十,femti,,,,,,,,,,,,,,,,,,,,,,,,,,,femti,femti,femti,,
wb_346ffa97471a1d7223d8b86f646a08c7a94b32c66db2e1232cb61580f95282c3,true,determinative,cardinal_number,sixty,六十,seksti,,,,,,,,,,,,,,,,,,,,,,,,,,,seksti,seksti,seksti,,
wb_ab8e6e92b62ac91de04227c9ddb88d55744b5c198c13d6d78c45821dcc463371,true,determinative,cardinal_number,seventy,七十,sytti,,,,,,,,,,,,,,,,,,,,,,,,,,,sytti,sytti,sytti,,
wb_55363a221b28cbcbcd8147565a932dfa765cf8aa5d0dec2a106e5212437942eb,true,determinative,cardinal_number,eighty,八十,åtti,,,,,,,,,,,,,,,,,,,,,,,,,,,åtti,åtti,åtti,,
wb_dfb186ce397789abf05488d776abb9bea671e83e6d9d26cdcda43605034d23c2,true,determinative,cardinal_number,ninety,九十,nitti,,,,,,,,,,,,,,,,,,,,,,,,,,,nitti,nitti,nitti,,
wb_66ce6559e6f6853a5ed585651606e8f69ab699d9cd8bb1cb9cf20653ea412437,true,determinative,cardinal_number,one hundred,一百,hundre,,,,,,,,,,,,,,,,,,,,,,,,,,,hundre,hundre,hundre,,
wb_83060852c0aca25dc089a9e74354f48c24a9658754e16fabb4f838f3f9c8f9e4,true,determinative,cardinal_number,two hundred,二百,to hundre,,,,,,,,,,,,,,,,,,,,,,,,,,,to hundre,to hundre,to hundre,,
wb_46561ebf9a538a06afc6e3757717597fc55f3f28e7a60a2df852e8c501eca8ec,true,determinative,cardinal_number,three hundred,三百,tre hundre,,,,,,,,,,,,,,,,,,,,,,,,,,,tre hundre,tre hundre,tre hundre,,
wb_46bca1cdaf5f7f1fd294f9399eb92bd22cbc2d03f8711b45c3b57f3d710ce112,true,determinative,cardinal_number,five hundred,五百,fem hundre,,,,,,,,,,,,,,,,,,,,,,,,,,,fem hundre,fem hundre,fem hundre,,
wb_2b8fec68d5325af9d70097f420471084ec3ac4e0e3ade9d9f46f35199f2d3002,true,determinative,cardinal_number,one thousand,一千,tusen,,,,,,,,,,,,,,,,,,,,,,,,,,,tusen,tusen,tusen,,
wb_23016c0d82ed4548d9cff4fd95ecb9f9896bfcb0055538725b5e57e754a747f1,true,determinative,cardinal_number,five thousand,五千,fem tusen,,,,,,,,,,,,,,,,,,,,,,,,,,,fem tusen,fem tusen,fem tusen,,
wb_24301354076422f4d0ea1a5a778e6412305c1a9f8b2d8dc359854324a12ffbfd,true,determinative,cardinal_number,one hundred thousand,十万,hundre tusen,,,,,,,,,,,,,,,,,,,,,,,,,,,hundre tusen,hundre tusen,hundre tusen,,
wb_999b04c1271c56e6ab308a22e7d96e9ff2502d108a4029bc14048fae8c1c4402,true,adjective,ordinal_number,first,第一,første,,,,,,,,,,,,,,,,første,første,første,første,første,første,,,,,,,,,,
wb_27db9623c1ca700a53796ba79a6679358f9d30b9326bc50ee4b7e3e73b0a81e3,true,adjective,ordinal_number,second,第二,andre,,,,,,,,,,,,,,,,andre,andre,andre,andre,andre,andre,,,,,,,,,,
wb_dd39ad1af944ea4d24b9ec7e2397d3ccf930df9f8cdf86a2f569d9be1987d01e,true,adjective,ordinal_number,third,第三,tredje,,,,,,,,,,,,,,,,tredje,tredje,tredje,tredje,tredje,tredje,,,,,,,,,,
wb_2beefcdfec26b00497d8f523065f0481221560c76fb6e1cbbc847fddd5ca12ae,true,adjective,ordinal_number,fourth,第四,fjerde,,,,,,,,,,,,,,,,fjerde,fjerde,fjerde,fjerde,fjerde,fjerde,,,,,,,,,,
wb_50d6fe6aab2441ce66551ce24a396ee28268010b2b68054a74fb20481795583b,true,adjective,ordinal_number,fifth,第五,femte,,,,,,,,,,,,,,,,femte,femte,femte,femte,femte,femte,,,,,,,,,,
wb_616781270ab63a26a1a73bd4acbea8117b55da6e02ca1cc44fa5b670c5ba5856,true,adjective,ordinal_number,sixth,第六,sjette,,,,,,,,,,,,,,,,sjette,sjette,sjette,sjette,sjette,sjette,,,,,,,,,,
wb_dec0f84879d31db1257585b7b5406463625a7b5cd97c8d36d826c7b2ee505250,true,adjective,ordinal_number,seventh,第七,sjuende,,,,,,,,,,,,,,,,sjuende,sjuende,sjuende,sjuende,sjuende,sjuende,,,,,,,,,,
